year,word,frequency
1700,cat,11.601
1700,dinosaur,0.0
1700,dog,29.388
1700,goat,16.707
1700,horse,107.127
1700,lobster,0.653
1700,penguin,0.302
1700,shrimp,0.528
1700,tuna,0.223
1700,zebra,0.002
1701,cat,12.475
1701,dog,32.054
1701,goat,15.635
1701,horse,119.436
1701,lobster,0.667
1701,penguin,0.355
1701,shrimp,0.479
1701,tuna,0.251
1701,zebra,0.004
1702,cat,13.726
1702,dog,35.102
1702,goat,15.262
1702,horse,135.049
1702,lobster,0.727
1702,penguin,0.432
1702,shrimp,0.47
1702,tuna,0.265
1702,zebra,0.008
1703,cat,15.049
1703,dog,37.578
1703,goat,15.401
1703,horse,150.645
1703,lobster,0.82
1703,penguin,0.486
1703,shrimp,0.486
1703,tuna,0.254
1703,zebra,0.012
1704,cat,15.945
1704,dog,38.454
1704,goat,15.396
1704,horse,163.304
1704,lobster,0.902
1704,penguin,0.47
1704,shrimp,0.485
1704,tuna,0.22
1704,zebra,0.014
1705,cat,16.125
1705,dog,37.802
1705,goat,14.767
1705,horse,172.028
1705,lobster,0.966
1705,penguin,0.384
1705,shrimp,0.452
1705,tuna,0.175
1705,zebra,0.013
1706,cat,15.824
1706,dog,36.991
1706,goat,13.662
1706,horse,176.119
1706,lobster,1.056
1706,penguin,0.273
1706,shrimp,0.411
1706,tuna,0.14
1706,zebra,0.01
1707,cat,15.567
1707,dog,37.44
1707,goat,12.652
1707,horse,173.985
1707,lobster,1.201
1707,penguin,0.183
1707,shrimp,0.401
1707,tuna,0.127
1707,zebra,0.01
1708,cat,15.652
1708,dog,39.105
1708,goat,12.193
1708,horse,165.38
1708,lobster,1.35
1708,penguin,0.135
1708,shrimp,0.423
1708,tuna,0.148
1708,zebra,0.012
1709,cat,15.98
1709,dog,40.591
1709,goat,12.304
1709,horse,152.814
1709,lobster,1.384
1709,penguin,0.123
1709,shrimp,0.438
1709,tuna,0.205
1709,zebra,0.016
1710,cat,16.294
1710,dog,40.578
1710,goat,12.716
1710,horse,140.279
1710,lobster,1.243
1710,penguin,0.128
1710,shrimp,0.415
1710,tuna,0.287
1710,zebra,0.017
1711,cat,16.434
1711,dog,39.056
1711,goat,13.19
1711,horse,129.705
1711,lobster,0.992
1711,penguin,0.131
1711,shrimp,0.361
1711,tuna,0.362
1711,zebra,0.015
1712,cat,16.342
1712,dog,37.141
1712,goat,13.653
1712,horse,120.782
1712,lobster,0.767
1712,penguin,0.12
1712,shrimp,0.306
1712,tuna,0.391
1712,zebra,0.011
1713,cat,15.997
1713,dog,35.849
1713,goat,14.146
