year,word,frequency
1700,chimpanzee,0.030849
1700,hummingbird,0.0
1700,hyena,0.120918
1700,kangaroo,0.038379
1700,koala,0.01108
1700,macaw,0.053617
1700,meerkat,0.0
1700,ostrich,1.003356
1700,penguin,0.302095
1700,tapir,0.0
1700,tiger,1.181632
1700,toucan,0.014381
1700,wombat,0.041929
1701,chimpanzee,0.02058
1701,hyena,0.140766
1701,kangaroo,0.043489
1701,koala,0.016121
1701,macaw,0.06961
1701,ostrich,0.990941
1701,penguin,0.355138
1701,tiger,1.510506
1701,toucan,0.025042
1701,wombat,0.036701
1702,chimpanzee,0.011518
1702,hyena,0.144308
1702,kangaroo,0.038379
1702,koala,0.018268
1702,macaw,0.095698
1702,ostrich,0.99293
1702,penguin,0.432326
1702,tiger,1.913979
1702,toucan,0.037482
1702,wombat,0.029785
1703,chimpanzee,0.005289
1703,hyena,0.130338
1703,kangaroo,0.026377
1703,koala,0.016121
1703,macaw,0.122484
1703,ostrich,0.979831
1703,penguin,0.486057
1703,tapir,0.0
1703,tiger,2.231221
1703,toucan,0.048929
1703,wombat,0.02141
1704,chimpanzee,0.001955
1704,hyena,0.106327
1704,kangaroo,0.014119
1704,koala,0.01108
1704,macaw,0.138207
1704,ostrich,0.908247
1704,penguin,0.469874
1704,tapir,0.000189
1704,tiger,2.310372
1704,toucan,0.055891
1704,wombat,0.013035
1705,chimpanzee,0.000565
1705,hyena,0.081996
1705,kangaroo,0.005886
1705,koala,0.005931
1705,macaw,0.139174
1705,ostrich,0.763597
1705,penguin,0.383996
1705,tapir,0.000746
1705,tiger,2.142617
1705,toucan,0.055514
1705,wombat,0.006496
1706,chimpanzee,0.000114
1706,hyena,0.063478
1706,kangaroo,0.001911
1706,koala,0.002472
1706,macaw,0.130216
1706,ostrich,0.583033
1706,penguin,0.272728
1706,tapir,0.002299
1706,tiger,1.86458
1706,toucan,0.047998
1706,wombat,0.002586
1707,chimpanzee,0.0
1707,hyena,0.052341
1707,kangaroo,0.00075
1707,koala,0.000803
1707,macaw,0.115101
1707,ostrich,0.427008
1707,penguin,0.183051
1707,tapir,0.005514
1707,tiger,1.622114
1707,toucan,0.036806
1707,wombat,0.000803
1708,hyena,0.046444
1708,kangaroo,0.001057
1708,koala,0.000203
1708,macaw,0.093864
1708,ostrich,0.336466
1708,penguin,0.13537
1708,tapir,0.010302
1708,tiger,1.461145
1708,toucan,0.025859
1708,wombat,0.000203
1709,hyena,0.043015
1709,kangaroo,0.003256
1709,koala,0.0
1709,macaw,0.06873
1709,ostrich,0.313873
1709,penguin,0.123194
1709,tapir,0.015159
1709,tiger,1.351733
1709,toucan,0.017188
1709,wombat,0.0
1710,hyena,0.040364
1710,kangaroo,0.007812
1710,macaw,0.046443
1710,ostrich,0.336291
1710,penguin,0.127612
1710,tapir,0.017653
1710,tiger,1.26398
1710,toucan,0.011886
1711,hyena,0.040472
1711,kangaroo,0.014594
1711,macaw,0.032298
1711,ostrich,0.37395
1711,penguin,0.131104
1711,tapir,0.017194
1711,tiger,1.197736
1711,toucan,0.01113
1712,hyena,0.04735
1712,kangaroo,0.021235
1712,macaw,0.026154
1712,ostrich,0.410719
1712,penguin,0.120452
1712,tapir,0.01582
1712,tiger,1.156659
1712,toucan,0.015467
1713,hyena,0.061714
1713,kangaroo,0.024062
1713,macaw,0.02516
1713,ostrich,0.444685
1713,penguin,0.096818
1713,tapir,0.016535
1713,tiger,1.12752
1713,toucan,0.023538
1714,hyena,0.078015
1714,kangaroo,0.021235
1714,macaw,0.028337
1714,ostrich,0.482322
1714,penguin,0.074823
1714,tapir,0.020042
1714,tiger,1.108492
1714,toucan,0.031433
1715,hyena,0.087092
1715,kangaroo,0.014594
1715,macaw,0.03503
1715,ostrich,0.518673
1715,penguin,0.070989
1715,tapir,0.024165
1715,tiger,1.119026
1715,toucan,0.035254
1716,hyena,0.085347
1716,kangaroo,0.007812
1716,macaw,0.041008
1716,ostrich,0.538978
1716,penguin,0.094125
1716,tapir,0.025871
1716,tiger,1.177196
